#########################################################################
# Date de mise en forme : 2016-02-22
# Bassin myst鑢e n?8 (78.51 km? - Huanyu ZHAI
#------------------------------------------------------------------------
#  Date  : date (AAAA-MM-JJ)
#  Q     : d閎it (l/s)
#  Ptot  : pr閏ipitations (liquides + solides) (mm)
#  Temp  : temp閞ature de l'air (癈)
#  ETP_O : 関apotranspiration potentielle de Oudin (mm)
#########################################################################
      Date;        Q;   Ptot;   Temp;  ETP_O
1958-08-01;       NA;    1.3;   20.7;    4.1
1958-08-02;       NA;    0.0;   16.0;    3.3
1958-08-03;       NA;    0.0;   13.0;    2.8
1958-08-04;       NA;    0.0;   13.8;    2.9
1958-08-05;       NA;    0.0;   18.1;    3.6
1958-08-06;       NA;    0.1;   16.3;    3.3
1958-08-07;       NA;    2.4;   13.3;    2.9
1958-08-08;       NA;    0.0;   15.4;    3.1
1958-08-09;       NA;    0.0;   20.7;    4.0
1958-08-10;       NA;    0.0;   22.0;    4.1
1958-08-11;       NA;   10.9;   16.1;    3.2
1958-08-12;       NA;    0.8;   12.5;    2.6
1958-08-13;       NA;    0.0;   12.8;    2.7
1958-08-14;       NA;    0.0;   16.3;    3.2
1958-08-15;       NA;    0.0;   19.4;    3.6
1958-08-16;       NA;    0.0;   18.1;    3.4
1958-08-17;       NA;    3.1;   19.2;    3.6
1958-08-18;       NA;   19.4;   19.8;    3.6
1958-08-19;       NA;   11.5;   14.1;    2.7
1958-08-20;       NA;    3.5;   12.2;    2.5
1958-08-21;       NA;   16.1;   13.0;    2.6
1958-08-22;       NA;   20.6;   12.4;    2.5
1958-08-23;       NA;    1.1;   11.2;    2.3
1958-08-24;       NA;   11.1;   14.1;    2.7
1958-08-25;       NA;    0.1;   13.1;    2.5
1958-08-26;       NA;    0.0;   13.3;    2.5
1958-08-27;       NA;    0.0;   20.3;    3.5
1958-08-28;       NA;    0.0;   23.3;    3.9
1958-08-29;       NA;    0.0;   21.0;    3.5
1958-08-30;       NA;   17.5;   19.3;    3.2
1958-08-31;       NA;    7.0;   17.4;    2.9
1958-09-01;       NA;    0.0;   15.9;    2.7
1958-09-02;       NA;    0.0;   17.0;    2.9
1958-09-03;       NA;    0.0;   19.0;    3.1
1958-09-04;       NA;    0.0;   21.2;    3.4
1958-09-05;       NA;    0.1;   22.1;    3.5
1958-09-06;       NA;    1.5;   20.3;    3.2
1958-09-07;       NA;    0.1;   18.6;    2.9
1958-09-08;       NA;    0.0;   17.6;    2.8
1958-09-09;       NA;    0.2;   17.8;    2.8
1958-09-10;       NA;    1.1;   16.7;    2.7
1958-09-11;       NA;    0.0;   16.0;    2.5
1958-09-12;       NA;    0.0;   18.5;    2.8
1958-09-13;       NA;    0.0;   21.0;    3.1
1958-09-14;       NA;    0.7;   21.7;    3.2
1958-09-15;       NA;    9.5;   18.1;    2.7
1958-09-16;       NA;    8.7;   14.7;    2.2
1958-09-17;       NA;    0.0;   12.9;    2.0
1958-09-18;       NA;    0.0;   12.2;    1.9
1958-09-19;       NA;    0.9;   15.0;    2.3
1958-09-20;       NA;    0.5;   16.5;    2.4
1958-09-21;       NA;    4.5;   15.4;    2.2
1958-09-22;       NA;    4.4;   11.4;    1.7
1958-09-23;       NA;    0.0;   10.0;    1.6
1958-09-24;       NA;    0.0;   12.8;    1.9
1958-09-25;       NA;    0.1;   13.3;    1.9
1958-09-26;       NA;    0.0;   10.5;    1.6
1958-09-27;       NA;    0.0;   12.0;    1.8
1958-09-28;       NA;    0.0;   15.6;    2.1
1958-09-29;       NA;   59.3;   17.3;    2.2
1958-09-30;       NA;   11.8;   12.3;    1.7
